https://www.random.org/integers/?num=45&min=1&max=10000&col=1&base=10&format=plain&rnd=date.2021-02-18
8329,4660,507,257,6589,9730,1419,8360,3116,7748,6996,216,2030,8909,6419,4755,7947,8631,8054,1931,7255,3315,6250,2289,9856,7833,9308,4599,5549,5831,7163,6811,4009,2359,3393,4110,2780,9665,2600,2903,1474,6270,8794,1034,5852

0,8329,4660,507,257,6589,9730,1419,8360,3116
8329,0,7748,6996,216,2030,8909,6419,4755,7947
4660,7748,0,8631,8054,1931,7255,3315,6250,2289
507,6996,8631,0,9856,7833,9308,4599,5549,5831
257,216,8054,9856,0,7163,6811,4009,2359,3393
6589,2030,1931,7833,7163,0,4110,2780,9665,2600
9730,8909,7255,9308,6811,4110,0,2903,1474,6270
1419,6419,3315,4599,4009,2780,2903,0,8794,1034
8360,4755,6250,5549,2359,9665,1474,8794,0,5852
3116,7947,2289,5831,3393,2600,6270,1034,5852,0
